# center	density  (d_ij)
7.03125	3.56991e-06
9.09375	1.86256e-06
11.1562	4.65641e-06
13.2188	1.55214e-05
15.2812	1.62974e-05
17.3438	2.31268e-05
19.4062	6.14646e-05
21.4688	9.62324e-05
23.5312	0.000120756
25.5938	0.000197121
27.6562	0.000312911
29.7188	0.000426682
31.7812	0.000575377
33.8438	0.000848863
35.9062	0.00116984
37.9688	0.00143635
40.0312	0.00302139
42.0938	0.00273083
44.1562	0.00332219
46.2188	0.0039924
48.2812	0.00486393
50.3438	0.00581275
52.4062	0.00673767
54.4688	0.00782292
56.5312	0.00906867
58.5938	0.0100783
60.6562	0.0112652
62.7188	0.0126369
64.7812	0.0139284
66.8438	0.0150599
68.9062	0.0162163
70.9688	0.0173065
73.0312	0.0277362
75.0938	0.0195066
77.1562	0.020104
79.2188	0.0204086
81.2812	0.0204339
83.3438	0.0204247
85.4062	0.0200466
87.4688	0.0194712
89.5312	0.0186832
91.5938	0.0177884
93.6562	0.0166844
95.7188	0.0153946
97.7812	0.0140544
99.8438	0.0127516
101.906	0.0113439
103.969	0.0100599
106.031	0.0127278
108.094	0.00691011
110.156	0.00591907
112.219	0.00498127
114.281	0.00422476
116.344	0.00338055
118.406	0.00281061
120.469	0.00230585
122.531	0.00179163
124.594	0.00140965
126.656	0.00111754
128.719	0.000847777
130.781	0.000632961
132.844	0.000495752
134.906	0.000360716
136.969	0.000257189
139.031	0.000253464
141.094	0.000111133
143.156	7.90037e-05
145.219	5.37039e-05
147.281	3.97347e-05
149.344	2.65415e-05
151.406	1.3814e-05
153.469	1.02441e-05
155.531	8.69196e-06
157.594	5.12205e-06
159.656	2.63863e-06
161.719	1.86256e-06
163.781	1.0865e-06
165.844	4.65641e-07
167.906	1.55214e-07
169.969	4.65641e-07
