# D_real	D_model
1956.2244	1960.1505
2325.6388	2521.9134
1271.3280	1217.4469
1839.7339	1957.8910
1787.6770	1731.2342
1823.8882	1976.8025
2100.5026	2185.8634
2028.7560	2295.0510
1646.8576	1665.2907
1606.6574	1595.8694
1224.9816	1186.7198
2233.8986	1922.2110
2056.5695	1935.3917
963.1173	924.3517
2005.6839	1821.6007
2295.2945	2158.4413
1953.9849	1733.4898
1593.7230	1724.8788
2522.3376	2328.8119
2138.5282	2228.1337
1915.6866	1697.1665
1971.8856	1842.3721
1015.6225	975.4799
1975.0552	1940.0039
1823.6296	1695.3380
1942.6629	1767.8015
1265.1530	1216.5196
1666.9577	1633.7552
2193.5713	2095.3790
1735.0680	1588.2761
2146.0715	1916.2526
1602.9226	1637.6297
1814.2544	1863.7116
2502.4848	2449.7261
2139.4719	1956.8924
1157.1759	1123.2640
934.4308	892.5223
1181.8126	1193.2661
1662.1712	1690.2766
1363.9399	1334.7704
1543.1990	1490.4036
1226.8639	1094.5405
2214.4207	2110.0097
1512.3221	1489.2548
1722.8285	1637.4749
1623.8907	1699.5494
2250.5159	2172.9832
979.0143	914.0033
1224.2594	1231.5230
1070.0598	1098.8157
1265.9265	1126.8176
1608.0028	1486.6459
1659.0163	1873.5605
995.3763	957.1734
1112.8490	1039.5345
1071.4084	1104.1513
1241.6912	1177.0620
1236.0032	1118.8423
1482.1582	1483.9094
1451.1006	1423.7268
975.8858	947.4650
924.7194	869.5493
1827.1234	1889.7497
1366.2928	1350.9511
1559.4441	1605.1947
1070.2121	1078.5796
2361.7743	2304.6360
2350.1045	2197.8424
1147.8066	1068.1198
1278.2637	1134.8828
867.8877	1017.8743
1710.6829	1791.4991
1091.9107	1149.6295
768.0983	711.7366
1471.2627	1425.2838
1387.8826	1523.9308
1831.8766	1898.3827
1347.1897	1232.9270
2003.2484	2008.0677
1759.3965	1735.2550
2317.9420	2310.6462
1349.8481	1196.5810
1131.8741	1087.7982
1375.2305	1356.5460
1201.1295	1038.9798
900.5781	907.1339
874.1184	898.3774
1665.3522	1564.5766
1302.9950	1277.6588
1025.4862	1021.3481
1064.5717	1133.0949
1450.0024	1541.4419
1293.8566	1235.8669
1151.0065	1254.7255
1113.3054	1147.4803
1357.6679	1583.7225
1338.5735	1264.5960
1773.2397	1707.3371
935.2128	1053.8211
919.4504	972.9363
1101.1848	1047.1151
1405.3007	1380.7860
1458.1598	1474.5626
1306.7620	1298.1002
770.4979	726.2555
1231.4321	1176.3184
1179.3982	1198.9704
1166.5548	1128.0146
1618.9521	1593.8516
855.9579	875.6535
1398.0004	1404.7601
1252.2376	1167.4708
1318.5409	1194.2215
1147.2790	1064.8113
1036.4063	936.3407
814.7098	836.1920
