# d_ij	D_ij  (Smith-Waterman)
55.0000	642.5605
81.0000	994.3541
112.0000	1435.9819
81.0000	1176.4166
107.0000	1362.4111
63.0000	774.3048
61.0000	699.7228
92.0000	1046.2504
83.0000	1130.1133
71.0000	820.6071
80.0000	1095.2242
75.0000	979.1772
68.0000	958.1900
64.0000	858.1632
75.0000	913.0279
77.0000	845.9716
77.0000	905.6158
111.0000	1557.9409
79.0000	868.6564
55.0000	604.5660
83.0000	784.4820
107.0000	1185.7571
64.0000	981.3440
97.0000	1166.8607
87.0000	860.3790
98.0000	839.2354
81.0000	1325.2698
96.0000	990.1495
92.0000	1093.9817
119.0000	1320.0621
85.0000	1148.9282
82.0000	993.8048
81.0000	1121.6006
99.0000	1084.5073
87.0000	1085.9153
96.0000	1229.3039
89.0000	1268.9886
103.0000	1533.0140
102.0000	1689.1430
56.0000	672.8715
67.0000	835.8732
57.0000	802.1247
55.0000	1134.0882
94.0000	1470.9548
88.0000	817.7701
85.0000	1533.0558
97.0000	1475.0769
87.0000	1609.8460
91.0000	1214.6094
47.0000	537.9033
74.0000	985.4278
39.0000	639.7718
73.0000	1252.8416
77.0000	1072.6397
58.0000	681.9648
51.0000	1248.6649
58.0000	1092.8330
61.0000	916.8053
73.0000	1146.8269
38.0000	755.1980
89.0000	1289.6185
85.0000	1220.4114
85.0000	958.4133
100.0000	1087.6121
81.0000	1201.2144
70.0000	975.1041
87.0000	1155.1675
73.0000	1142.7353
76.0000	1094.0786
123.0000	2566.4177
64.0000	890.8266
60.0000	780.0513
77.0000	800.5673
85.0000	903.4534
85.0000	1074.6516
118.0000	1326.9830
81.0000	915.4868
65.0000	979.5979
69.0000	981.7922
95.0000	1302.6818
68.0000	806.9969
80.0000	1080.4666
79.0000	1018.2711
64.0000	844.5070
81.0000	1079.9648
58.0000	795.1905
86.0000	907.0237
95.0000	1023.7363
76.0000	996.8109
93.0000	1001.4569
77.0000	762.5982
74.0000	1045.4989
85.0000	1129.7380
77.0000	714.1176
40.0000	794.6144
72.0000	927.5365
71.0000	804.8627
91.0000	1153.8648
88.0000	1003.8107
69.0000	1131.1852
76.0000	927.8901
90.0000	1198.8394
118.0000	1073.1896
88.0000	1489.7449
92.0000	1504.0226
73.0000	836.2799
45.0000	552.9376
84.0000	1245.5119
79.0000	1380.2188
89.0000	1478.4708
92.0000	1196.9144
88.0000	1398.5164
51.0000	794.8006
66.0000	915.4562
49.0000	809.8222
70.0000	926.1836
72.0000	944.9571
65.0000	1061.8493
100.0000	2028.4171
84.0000	1560.2705
82.0000	1422.3417
67.0000	1035.9517
79.0000	1027.9008
79.0000	1013.7436
59.0000	891.3293
80.0000	903.9226
83.0000	1152.2378
69.0000	972.1049
43.0000	497.8715
86.0000	1048.4560
88.0000	1079.9907
53.0000	549.7891
87.0000	996.5400
68.0000	703.9148
66.0000	729.8603
112.0000	2320.9558
80.0000	1059.6943
46.0000	771.7227
119.0000	1804.6440
85.0000	943.5910
82.0000	1146.2844
84.0000	1499.7053
78.0000	1070.1906
63.0000	1191.2498
36.0000	583.3490
