arm	study_id	study_group	pmid	compartment	family	n_samples	n_subjects	n_TRA	n_TRB	n_IGH	n_IGK	n_IGL
blood_reference	GSE207214	PMID:36373948.0	36373948.0	blood	sra	83	56	83	83	4	78	80
blood_reference	GSE212096	GSE212096		blood	sra	80	80	80	80	80	80	78
blood_reference	GSE274944	GSE274944		blood	sra	80	65	80	80	78	80	80
blood_reference	GSE109515	PMID:33303696	33303696	blood	sra	80	80	80	80	80	80	72
blood_reference	GSE135964	PMID:32123257	32123257	blood	sra	79	4	63	79	79	79	79
blood_reference	GSE231347	GSE231347		blood	sra	78	20	78	77	78	78	78
blood_reference	GSE115823	PMID:30962590	30962590	blood	sra	77	69	53	76	35	66	66
blood_reference	GSE167000	PMID:33758879	33758879	blood	sra	77	77	77	77	76	76	76
blood_reference	GSE296403	GSE296403		blood	sra	77	56	77	77	76	77	75
blood_reference	GSE218048	GSE218048		blood	sra	77	77	77	77	76	76	73
blood_reference	GSE98645	PMID:29489876	29489876	blood	sra	75	7	74	75	46	75	20
blood_reference	GSE224849	GSE224849		blood	sra	74	69	74	74	74	74	74
blood_reference	GSE151161	PMID:34075090	34075090	blood	sra	74	38	62	71	55	62	49
blood_reference	GSE193979	PMID:35841871.0	35841871.0	blood	sra	74	44	74	71	28	74	73
blood_reference	GSE120115	PMID:30886186	30886186	blood	sra	73	19	67	73	72	73	72
blood_reference	PRJNA533086	PMID:32348760	32348760	blood	sra	73	1	73	64	61	73	16
blood_reference	GSE253782	PMID:38375330	38375330	blood	sra	72	21	67	70	51	69	44
blood_reference	GSE85531	PMID:28664195.0	28664195.0	blood	sra	72	72	72	72	19	70	70
blood_reference	GSE271708	PMID:39435665	39435665	blood	sra	71	71	71	71	71	71	71
blood_reference	GSE250023	GSE250023		blood	sra	70	18	70	70	70	70	70
blood_reference	GSE167124	PMID:33787858	33787858	blood	sra	70	70	70	70	70	70	70
blood_reference	GSE274086	GSE274086		blood	sra	69	68	29	46	63	68	66
blood_reference	PRJNA702017	PRJNA702017		blood	sra	68	1	68	68	68	68	68
blood_reference	SRP348207	SRP348207		blood	sra	68	63	67	68	68	68	68
blood_reference	GSE172114	PMID:34698500	34698500	blood	sra	68	68	65	68	66	66	66
blood_reference	GSE278476	GSE278476		blood	sra	68	57	45	68	37	67	25
blood_reference	GSE250426	PMID:39360678	39360678	blood	sra	67	36	53	65	56	60	49
blood_reference	GSE211368	GSE211368		blood	sra	66	61	31	66	0	64	46
blood_reference	SRP301622	SRP301622		blood	sra	65	12	64	64	65	65	65
blood_reference	GSE184653	GSE184653		blood	sra	65	65	64	65	63	65	63
blood_reference	GSE178240	GSE178240		blood	sra	65	64	65	65	61	65	65
blood_reference	PRJNA916957	PRJNA916957		blood	sra	65	1	54	65	65	64	63
blood_reference	GSE196350	GSE196350		blood	sra	64	64	64	64	64	64	64
blood_reference	GSE116619	GSE116619		blood	sra	64	61	64	64	64	64	64
blood_reference	GSE165149	PMID:33723462	33723462	blood	sra	63	21	63	63	63	63	63
blood_reference	GSE212861	GSE212861		blood	sra	62	51	17	26	54	61	61
blood_reference	GSE158592	GSE158592		blood	sra	62	62	62	62	62	62	62
blood_reference	GSE134637	GSE134637		blood	sra	62	62	62	62	61	62	57
blood_reference	SRP510395	SRP510395		blood	sra	61	9	61	61	61	61	61
blood_reference	SRP414904	SRP414904		blood	sra	61	1	54	57	61	61	56
blood_reference	GSE86884	PMID:25946140	25946140	blood	sra	60	31	44	49	48	55	36
blood_reference	SRP312015	SRP312015		blood	sra	59	2	58	59	56	58	56
blood_reference	PRJNA819939	PRJNA819939		blood	sra	58	1	57	58	56	58	57
blood_reference	GSE244654	GSE244654		blood	sra	58	58	57	57	58	58	58
blood_reference	SRP372602	SRP372602		blood	sra	57	9	57	57	57	57	57
blood_reference	GSE114588	PMID:32178738	32178738	blood	sra	56	35	52	54	56	56	56
blood_reference	GSE110041	PMID:31890206	31890206	blood	sra	56	7	56	56	56	56	48
blood_reference	GSE113883	PMID:30201705	30201705	blood	sra	55	11	31	40	26	50	36
blood_reference	SRP453362	SRP453362		blood	sra	55	2	54	55	55	55	54
blood_reference	PRJNA802194	PRJNA802194		blood	sra	55	1	36	50	50	52	46
blood_reference	GSE133298	PMID:33689671	33689671	blood	sra	54	27	54	54	54	54	53
blood_reference	PRJNA1163403	PMID:39844875.0	39844875.0	blood	sra	54	1	51	53	54	52	49
blood_reference	SRP530875	SRP530875		blood	sra	53	11	53	53	53	53	53
blood_reference	GSE167923	PMID:33400293	33400293	blood	sra	53	53	53	53	52	53	53
blood_reference	GSE115449	PMID:30270043	30270043	blood	sra	53	53	37	53	1	53	53
blood_reference	GSE226825	PMID:37875944.0	37875944.0	blood	sra	52	52	2	18	38	3	50
blood_reference	GSE207751	GSE207751		blood	sra	52	52	51	52	31	52	42
blood_reference	GSE128224	GSE128224		blood	sra	52	26	52	52	52	52	52
blood_reference	GSE213144	GSE213144		blood	sra	51	50	50	48	49	50	40
blood_reference	PRJNA692257	PMID:34031375	34031375	blood	sra	51	1	51	51	45	50	43
blood_reference	PRJEB23131	PRJEB23131		blood	sra	51	1	29	48	38	51	38
blood_reference	GSE263013	PMID:38641753.0	38641753.0	blood	sra	51	51	49	51	49	49	39
blood_reference	GSE205244	GSE205244		blood	sra	50	50	49	49	50	50	50
blood_reference	PRJNA390289	PMID:30150281	30150281	blood	sra	50	1	50	34	41	50	11
blood_reference	PRJNA819096	PRJNA819096		blood	sra	49	1	48	49	48	49	48
blood_reference	SRP336742	SRP336742		blood	sra	49	49	7	12	49	36	24
blood_reference	GSE208132	GSE208132		blood	sra	48	48	48	48	47	48	47
blood_reference	SRP358351	SRP358351		blood	sra	48	24	46	48	48	48	48
blood_reference	GSE134080	PMID:32532224	32532224	blood	sra	48	48	48	48	34	48	48
blood_reference	GSE58122	PMID:26648521	26648521	blood	sra	48	1	48	48	47	48	40
blood_reference	GSE201642	PMID:36172132	36172132	blood	sra	48	15	48	48	25	20	21
blood_reference	GSE45735	PMID:23900141	23900141	blood	sra	48	5	14	47	6	46	32
blood_reference	GSE221066	GSE221066		blood	sra	47	46	28	26	47	47	44
blood_reference	PRJNA721896	PRJNA721896		blood	sra	47	1	47	47	47	47	47
blood_reference	GSE216328	GSE216328		blood	sra	47	47	47	47	47	47	47
blood_reference	GSE173697	GSE173697		blood	sra	47	47	46	46	43	44	44
blood_reference	GSE287275	GSE287275		blood	sra	47	47	46	47	47	47	47
blood_reference	GSE184722	GSE184722		blood	sra	47	47	1	46	45	45	43
blood_reference	PRJEB33892	PMID:29950443	29950443	blood	sra	46	1	8	6	46	46	42
blood_reference	GSE214763	PMID:36325355	36325355	blood	sra	46	46	28	46	46	41	38
blood_reference	GSE127530	PMID:31473510	31473510	blood	sra	45	5	45	45	45	45	45
blood_reference	PRJNA1228642	PRJNA1228642		blood	sra	45	1	43	45	45	45	45
blood_reference	GSE181932	PMID:34533134	34533134	blood	sra	45	24	45	45	45	45	45
blood_reference	GSE86308	PMID:29079696	29079696	blood	sra	44	22	44	44	44	44	44
blood_reference	PRJNA1071588	PMID:38583289.0	38583289.0	blood	sra	43	1	42	43	41	41	39
blood_reference	GSE194331	GSE194331		blood	sra	43	43	37	37	33	42	21
blood_reference	PRJNA925435	PMID:39104114	39104114	blood	sra	43	1	42	43	34	43	43
blood_reference	GSE141646	PMID:28835680	28835680	blood	sra	43	22	37	40	40	43	39
blood_reference	GSE146658	GSE146658		blood	sra	43	39	43	43	31	43	16
blood_reference	GSE87186	GSE87186		blood	sra	43	14	43	43	35	43	43
blood_reference	GSE162746	PMID:33510868	33510868	blood	sra	42	8	42	42	9	42	42
blood_reference	PRJNA717024	PRJNA717024		blood	sra	41	1	41	41	41	41	41
blood_reference	PRJNA742759	PRJNA742759		blood	sra	41	1	41	41	41	41	41
blood_reference	GSE189039	GSE189039		blood	sra	40	40	38	40	40	40	39
blood_reference	GSE120596	PMID:30929268	30929268	blood	sra	39	26	30	39	39	39	37
blood_reference	GSE182522	PMID:34977060	34977060	blood	sra	39	36	36	39	39	39	39
blood_reference	GSE271586	GSE271586		blood	sra	39	39	35	39	39	39	39
blood_reference	GSE110487	PMID:30463588	30463588	blood	sra	38	26	31	33	14	37	34
blood_reference	SRP125882	SRP125882		blood	sra	38	1	38	38	38	38	38
blood_reference	GSE164877	PMID:34031375	34031375	blood	sra	38	38	37	37	36	38	35
blood_reference	GSE144358	PMID:32234474	32234474	blood	sra	37	37	29	37	37	37	37
blood_reference	SRP490696	SRP490696		blood	sra	37	8	23	23	36	37	36
