arm	study_id	study_group	pmid	compartment	family	n_samples	n_subjects	n_TRA	n_TRB	n_IGH	n_IGK	n_IGL
blood_reference	E-MTAB-6845	PMID:30919880	30919880	blood	sra	16	16	8	14	3	12	3
blood_reference	GSE234607	GSE234607		blood	sra	16	16	16	16	16	16	16
blood_reference	GSE112594	PMID:29925930	29925930	blood	sra	16	13	16	16	4	15	15
blood_reference	GSE179621	PMID:33273683	33273683	blood	sra	16	10	6	16	3	8	4
blood_reference	GSE261699	GSE261699		blood	sra	16	13	5	16	0	6	1
blood_reference	GSE298552	GSE298552		blood	sra	16	6	11	14	16	16	16
blood_reference	GSE112104	PMID:32090859	32090859	blood	sra	16	16	14	15	12	16	16
blood_reference	SRP548353	SRP548353		blood	sra	16	16	16	16	16	16	16
blood_reference	PRJNA741686	PMID:35132407	35132407	blood	sra	16	1	13	14	13	16	15
blood_reference	GSE189263	GSE189263		blood	sra	15	15	12	15	15	15	14
blood_reference	SRP344572	SRP344572		blood	sra	15	15	15	15	15	15	15
blood_reference	PRJNA648957	PMID:33329547	33329547	blood	sra	15	1	6	15	4	15	2
blood_reference	GSE233157	GSE233157		blood	sra	15	15	0	0	15	11	7
blood_reference	GSE172022	GSE172022		blood	sra	15	15	3	8	15	15	13
blood_reference	GSE74235	GSE74235		blood	sra	15	3	15	15	15	15	15
blood_reference	GSE156124	PMID:33273683	33273683	blood	sra	15	4	4	15	6	12	5
blood_reference	SRP439527	SRP439527		blood	sra	15	13	15	15	15	15	15
blood_reference	GSE172450	GSE172450		blood	sra	15	6	10	15	5	15	13
blood_reference	GSE277984	GSE277984		blood	sra	15	15	15	15	15	15	15
blood_reference	PRJNA542253	PMID:31249421	31249421	blood	sra	15	1	15	15	15	15	15
blood_reference	SRP132160	SRP132160		blood	sra	15	6	15	15	15	15	15
blood_reference	GSE177025	PMID:35060899	35060899	blood	sra	14	14	0	0	14	8	9
blood_reference	GSE125512	PMID:31120332	31120332	blood	sra	14	10	14	14	2	14	12
blood_reference	GSE92772	PMID:29358694	29358694	blood	sra	14	14	12	12	13	14	13
blood_reference	GSE152179	PMID:32733475	32733475	blood	sra	14	2	12	14	13	14	12
blood_reference	PRJNA494963	PMID:31600201	31600201	blood	sra	14	1	14	14	14	14	14
blood_reference	SRP393928	SRP393928		blood	sra	14	4	14	14	14	14	14
blood_reference	GSE254592	GSE254592		blood	sra	14	12	14	14	14	14	14
blood_reference	PRJNA812012	PRJNA812012		blood	sra	14	1	11	14	2	14	12
blood_reference	GSE100207	GSE100207		blood	sra	14	14	2	5	13	14	8
blood_reference	GSE153100	PMID:33941086	33941086	blood	sra	14	14	14	14	14	14	13
blood_reference	GSE120396	PMID:31278196	31278196	blood	sra	14	14	14	14	2	13	11
blood_reference	GSE221766	GSE221766		blood	sra	14	14	12	13	14	14	13
blood_reference	PRJNA1030915	PRJNA1030915		blood	sra	14	1	14	14	5	14	14
blood_reference	PRJEB29090	PMID:31836668	31836668	blood	sra	14	1	12	14	13	13	13
blood_reference	GSE218276	GSE218276		blood	sra	14	14	13	14	13	14	13
blood_reference	GSE164890	GSE164890		blood	sra	14	7	14	14	14	14	14
blood_reference	PRJNA717805	PRJNA717805		blood	sra	14	1	14	14	2	14	14
blood_reference	GSE216902	GSE216902		blood	sra	14	14	9	11	14	14	14
blood_reference	SRP301841	SRP301841		blood	sra	13	3	12	13	13	13	13
blood_reference	GSE221921	PMID:38366049.0	38366049.0	blood	sra	13	13	13	13	12	13	13
blood_reference	SRP433634	SRP433634		blood	sra	13	13	12	12	13	13	12
blood_reference	SRP616382	SRP616382		blood	sra	13	13	13	13	13	13	13
blood_reference	SRP194087	SRP194087		blood	sra	13	1	0	0	13	12	5
blood_reference	GSE163073	PMID:34384544	34384544	blood	sra	13	13	4	12	12	12	12
blood_reference	GSE167930	PMID:34586734	34586734	blood	sra	13	13	12	12	13	13	13
blood_reference	GSE162894	PMID:33593877	33593877	blood	sra	13	13	4	9	9	9	9
blood_reference	GSE249787	GSE249787		blood	sra	13	13	0	2	13	13	13
blood_reference	SRP297826	SRP297826		blood	sra	13	1	13	13	12	13	10
blood_reference	PRJNA914756	PRJNA914756		blood	sra	13	1	10	13	0	13	12
blood_reference	SRP533761	SRP533761		blood	sra	13	7	13	13	13	13	13
blood_reference	GSE165024	GSE165024		blood	sra	13	13	11	13	13	13	13
blood_reference	PRJNA280078	PMID:26391122	26391122	blood	sra	13	1	13	13	13	13	13
blood_reference	SRP073347	SRP073347		blood	sra	13	13	13	13	13	13	13
blood_reference	GSE230161	GSE230161		blood	sra	13	13	5	13	0	11	10
blood_reference	SRP472472	SRP472472		blood	sra	13	2	13	13	13	13	13
blood_reference	GSE235048	PMID:37638022	37638022	blood	sra	12	8	11	12	12	12	12
blood_reference	GSE179302	PMID:35777820	35777820	blood	sra	12	12	3	9	9	6	6
blood_reference	SRP356108	SRP356108		blood	sra	12	4	11	11	12	12	12
blood_reference	SRP311811	SRP311811		blood	sra	12	12	12	12	12	12	12
blood_reference	SRP282392	SRP282392		blood	sra	12	1	10	12	11	11	11
blood_reference	SRP291636	SRP291636		blood	sra	12	8	12	12	12	12	12
blood_reference	GSE155198	PMID:33329547	33329547	blood	sra	12	5	11	11	6	12	5
blood_reference	GSE99719	GSE99719		blood	sra	12	12	12	12	12	12	12
blood_reference	PRJNA741605	PRJNA741605		blood	sra	12	1	12	12	12	12	12
blood_reference	PRJNA353622	PRJNA353622		blood	sra	12	1	12	12	12	12	12
blood_reference	GSE80183	PMID:27835693	27835693	blood	sra	12	12	12	12	12	12	12
blood_reference	GSE207750	PMID:36366544.0	36366544.0	blood	sra	12	12	12	12	11	12	12
blood_reference	PRJNA702820	PMID:34427831	34427831	blood	sra	12	1	10	12	11	12	12
blood_reference	GSE285174	GSE285174		blood	sra	12	6	12	12	12	12	12
blood_reference	GSE207625	GSE207625		blood	sra	12	12	11	12	12	12	12
blood_reference	GSE103305	PMID:29069456	29069456	blood	sra	12	6	11	11	2	11	11
blood_reference	GSE274134	PMID:39273470	39273470	blood	sra	12	6	12	12	12	12	12
blood_reference	PRJNA861297	PMID:37018379	37018379	blood	sra	12	1	9	12	11	12	12
blood_reference	E-MTAB-6141	E-MTAB-6141		blood	sra	12	12	12	12	6	12	12
blood_reference	SRP221374	SRP221374		blood	sra	11	2	2	5	11	11	11
blood_reference	PRJNA662985	PMID:33361761	33361761	blood	sra	11	1	9	11	11	11	10
blood_reference	PRJNA870045	PRJNA870045		blood	sra	11	1	11	11	5	11	11
blood_reference	PRJNA644109	PMID:32780768	32780768	blood	sra	11	1	6	9	11	11	8
blood_reference	SRP186088	SRP186088		blood	sra	11	8	5	10	7	11	6
blood_reference	PRJEB23048	PMID:32210480	32210480	blood	sra	11	1	11	11	11	11	11
blood_reference	GSE110325	PMID:29610140	29610140	blood	sra	11	11	11	11	1	11	11
blood_reference	PRJNA641554	PMID:32758644	32758644	blood	sra	11	1	8	11	2	1	0
blood_reference	PRJNA730527	PRJNA730527		blood	sra	11	1	11	11	11	11	11
blood_reference	GSE241467	GSE241467		blood	sra	11	11	8	10	11	11	11
blood_reference	GSE200462	GSE200462		blood	sra	11	11	11	11	11	11	11
blood_reference	PRJEB38307	PRJEB38307		blood	sra	11	1	5	11	0	7	2
blood_reference	GSE158208	PMID:33746987	33746987	blood	sra	11	11	10	11	11	11	11
blood_reference	SRP438715	SRP438715		blood	sra	11	1	11	11	9	11	8
blood_reference	SRP339377	SRP339377		blood	sra	11	11	0	6	11	11	11
blood_reference	GSE185027	GSE185027		blood	sra	11	11	11	11	11	11	11
blood_reference	SRP408540	SRP408540		blood	sra	11	2	11	11	11	11	11
blood_reference	GSE226238	GSE226238		blood	sra	11	11	11	11	7	11	7
blood_reference	GSE58335	PMID:25385641	25385641	blood	sra	11	4	11	11	4	11	11
blood_reference	PRJNA792450	PRJNA792450		blood	sra	11	1	2	8	7	7	7
blood_reference	PRJNA792807	PRJNA792807		blood	sra	10	1	7	7	10	10	10
blood_reference	SRP542912	SRP542912		blood	sra	10	10	10	10	10	10	10
blood_reference	GSE133499	PMID:32204435	32204435	blood	sra	10	10	4	7	7	8	6
blood_reference	GSE229778	GSE229778		blood	sra	10	10	10	10	10	10	10
blood_reference	GSE148402	PMID:33504832	33504832	blood	sra	10	10	10	10	10	10	9
blood_reference	GSE239678	GSE239678		blood	sra	10	10	9	10	9	9	9
blood_reference	GSE137338	PMID:31841569	31841569	blood	sra	10	8	10	10	1	10	10
blood_reference	SRP383277	SRP383277		blood	sra	10	2	10	10	10	10	10
blood_reference	GSE131526	PMID:31671072	31671072	blood	sra	10	5	10	10	2	10	10
blood_reference	PRJNA1017417	PMID:39160575	39160575	blood	sra	10	1	7	8	10	10	10
blood_reference	GSE157240	PMID:34777354	34777354	blood	sra	10	10	4	4	9	9	9
blood_reference	PRJNA756296	PRJNA756296		blood	sra	10	1	10	10	8	10	10
blood_reference	PRJEB27965	PMID:31200750	31200750	blood	sra	10	1	8	10	9	10	10
blood_reference	GSE66228	PMID:25787252.0	25787252.0	blood	sra	10	10	0	0	10	3	6
blood_reference	GSE122309	PMID:30513106	30513106	blood	sra	10	10	8	7	10	10	10
blood_reference	GSE185855	PMID:35013133	35013133	blood	sra	10	8	10	10	10	10	10
blood_reference	GSE154703	PMID:33876188	33876188	blood	sra	10	7	10	10	9	9	9
blood_reference	GSE110744	PMID:32526260	32526260	blood	sra	10	10	10	10	10	10	10
blood_reference	PRJNA335562	PRJNA335562		blood	sra	10	1	10	10	10	10	10
blood_reference	GSE132396	PMID:35839448	35839448	blood	sra	10	5	4	6	8	9	7
blood_reference	GSE152341	PMID:32722616	32722616	blood	sra	10	10	10	10	0	6	6
blood_reference	GSE110989	PMID:31452782	31452782	blood	sra	10	10	10	10	10	10	10
blood_reference	SRP446517	SRP446517		blood	sra	10	10	10	10	8	7	8
blood_reference	PRJNA938007	PRJNA938007		blood	sra	10	10	10	10	10	10	10
blood_reference	GSE271520	GSE271520		blood	sra	10	10	10	10	10	10	10
blood_reference	GSE308058	GSE308058		blood	sra	10	10	10	10	10	10	10
blood_reference	PRJNA748034	PMID:34609968	34609968	blood	sra	10	1	8	10	10	10	10
blood_reference	GSE201085	GSE201085		blood	sra	10	10	8	10	9	9	8
blood_reference	SRP431345	SRP431345		blood	sra	9	9	9	9	9	9	9
blood_reference	PRJNA759244	PMID:34765642	34765642	blood	sra	9	1	9	9	9	9	9
blood_reference	GSE107572	GSE107572		blood	sra	9	9	6	9	0	9	8
blood_reference	GSE144476	PMID:33037226	33037226	blood	sra	9	9	4	5	9	9	9
blood_reference	PRJNA1041580	PRJNA1041580		blood	sra	9	1	5	9	9	9	9
blood_reference	PRJNA647407	PMID:32853177	32853177	blood	sra	9	1	9	9	9	9	9
blood_reference	GSE206397	GSE206397		blood	sra	9	6	9	9	9	9	9
blood_reference	GSE221234	PMID:36690713	36690713	blood	sra	9	9	9	9	9	9	9
blood_reference	SRP446634	SRP446634		blood	sra	9	9	9	9	8	9	8
blood_reference	SRP446739	SRP446739		blood	sra	9	6	8	9	6	8	0
blood_reference	GSE271667	PMID:39261833	39261833	blood	sra	9	3	9	9	9	9	9
blood_reference	GSE293433	GSE293433		blood	sra	9	9	9	9	9	9	9
blood_reference	SRP453636	SRP453636		blood	sra	9	2	9	9	9	9	9
blood_reference	SRP431567	SRP431567		blood	sra	9	9	9	9	9	9	9
blood_reference	SRP493853	SRP493853		blood	sra	9	1	7	2	9	9	9
blood_reference	PRJNA556960	PMID:32024802	32024802	blood	sra	9	1	5	9	0	9	9
blood_reference	PRJNA980703	PMID:37818590	37818590	blood	sra	9	1	9	9	8	9	8
blood_reference	GSE190529	GSE190529		blood	sra	9	9	9	9	9	9	9
blood_reference	PRJNA798391	PRJNA798391		blood	sra	9	1	9	9	8	9	9
blood_reference	PRJNA751734	PRJNA751734		blood	sra	9	1	9	9	9	9	9
blood_reference	GSE110745	GSE110745		blood	sra	9	3	9	9	9	9	9
blood_reference	PRJNA1083989	PMID:39328420	39328420	blood	sra	9	1	7	9	9	9	9
blood_reference	GSE247506	GSE247506		blood	sra	9	9	9	9	9	9	9
blood_reference	GSE95573	PMID:28808331	28808331	blood	sra	9	3	9	9	9	9	9
blood_reference	GSE199273	GSE199273		blood	sra	9	8	2	9	3	8	0
blood_reference	PRJNA603492	PMID:32234474	32234474	blood	sra	9	1	9	9	9	9	9
blood_reference	PRJNA277352	PMID:25885816	25885816	blood	sra	9	1	9	9	9	9	9
blood_reference	PRJNA791478	PRJNA791478		blood	sra	9	1	0	0	9	0	0
blood_reference	SRP593235	SRP593235		blood	sra	9	5	9	9	9	9	9
blood_reference	GSE232929	GSE232929		blood	sra	9	9	9	9	9	9	9
blood_reference	GSE108796	GSE108796		blood	sra	9	3	9	9	9	9	9
blood_reference	GSE197637	GSE197637		blood	sra	9	9	9	9	9	9	9
blood_reference	GSE128078	PMID:30897114	30897114	blood	sra	9	8	4	7	8	8	6
blood_reference	GSE49642	GSE49642		blood	sra	8	8	2	4	8	8	8
blood_reference	GSE224006	GSE224006		blood	sra	8	8	8	8	8	8	8
blood_reference	GSE186724	GSE186724		blood	sra	8	8	8	8	8	8	8
blood_reference	GSE156187	PMID:34103547	34103547	blood	sra	8	2	8	8	0	4	0
blood_reference	PRJNA743946	PRJNA743946		blood	sra	8	1	6	8	8	8	8
blood_reference	PRJNA844275	PMID:36171464	36171464	blood	sra	8	1	8	8	8	8	8
blood_reference	PRJEB14743	PMID:27651416	27651416	blood	sra	8	1	8	8	8	8	8
blood_reference	GSE216117	GSE216117		blood	sra	8	8	2	7	2	2	2
blood_reference	SRP323553	SRP323553		blood	sra	8	8	8	8	8	7	8
blood_reference	GSE120649	PMID:30341925	30341925	blood	sra	8	8	8	8	4	5	3
blood_reference	GSE114033	PMID:31468702	31468702	blood	sra	8	8	8	8	8	8	8
blood_reference	SRP482772	SRP482772		blood	sra	8	8	2	6	8	8	8
blood_reference	SRP319809	SRP319809		blood	sra	8	2	6	8	8	8	8
blood_reference	PRJNA726043	PRJNA726043		blood	sra	8	1	8	8	6	8	8
blood_reference	PRJNA1105077	PRJNA1105077		blood	sra	8	1	8	8	8	8	4
blood_reference	PRJNA511891	PRJNA511891		blood	sra	8	1	8	8	8	8	8
blood_reference	GSE143780	PMID:33232305	33232305	blood	sra	8	5	4	4	8	8	7
blood_reference	GSE140724	GSE140724		blood	sra	8	4	8	8	8	8	8
blood_reference	SRP488229	SRP488229		blood	sra	8	6	4	4	8	8	8
blood_reference	GSE177034	PMID:35544595.0	35544595.0	blood	sra	8	7	8	8	8	8	8
blood_reference	GSE118558	PMID:32245794.0	32245794.0	blood	sra	8	2	8	8	3	8	5
blood_reference	SRP503975	SRP503975		blood	sra	8	2	8	8	5	6	5
blood_reference	PRJNA705589	PMID:33400293	33400293	blood	sra	8	1	4	6	7	8	7
blood_reference	PRJNA720487	PRJNA720487		blood	sra	8	1	8	8	8	8	8
blood_reference	GSE169687	PMID:35027067		blood	sra	8	8	8	8	8	8	8
blood_reference	SRP460038	SRP460038		blood	sra	8	1	0	0	8	7	2
blood_reference	GSE211567	PMID:38110534.0	38110534.0	blood	sra	8	8	4	7	1	7	6
blood_reference	GSE67488	PMID:26391122	26391122	blood	sra	7	5	7	7	7	7	7
blood_reference	SRP335715	SRP335715		blood	sra	7	1	1	5	6	5	6
blood_reference	GSE201533	PMID:35637788	35637788	blood	sra	7	7	7	7	7	7	7
blood_reference	GSE152218	PMID:33482742	33482742	blood	sra	7	7	7	7	7	7	7
blood_reference	PRJNA738649	PRJNA738649		blood	sra	7	1	7	7	7	7	7
blood_reference	PRJNA929483	PRJNA929483		blood	sra	7	1	3	7	6	7	6
blood_reference	PRJNA759123	PMID:34765642	34765642	blood	sra	7	1	7	7	7	7	7
blood_reference	PRJEB25139	PRJEB25139		blood	sra	7	1	7	7	7	7	7
blood_reference	GSE175988	PMID:34255973	34255973	blood	sra	7	6	5	7	0	6	2
blood_reference	GSE66917	PMID:26237430	26237430	blood	sra	7	7	2	3	7	7	7
blood_reference	PRJNA680771	PMID:33692804	33692804	blood	sra	7	1	2	4	6	7	6
blood_reference	GSE278885	GSE278885		blood	sra	7	7	4	6	7	7	5
blood_reference	PRJNA337969	PRJNA337969		blood	sra	7	1	7	7	7	7	7
blood_reference	PRJNA900301	PMID:36496417.0	36496417.0	blood	sra	7	1	7	7	7	7	7
blood_reference	GSE156209	GSE156209		blood	sra	7	7	5	6	5	7	6
blood_reference	GSE159543	GSE159543		blood	sra	7	7	6	6	7	7	7
blood_reference	PRJNA660034	PRJNA660034		blood	sra	7	1	7	7	7	7	7
blood_reference	GSE155925	PMID:33510411	33510411	blood	sra	7	7	7	7	4	7	7
blood_reference	GSE121084	PMID:31069175	31069175	blood	sra	7	7	7	7	7	7	7
blood_reference	GSE192685	GSE192685		blood	sra	7	7	0	0	7	5	3
blood_reference	PRJNA518143	PMID:32529172	32529172	blood	sra	7	1	7	7	7	7	7
blood_reference	GSE250153	GSE250153		blood	sra	7	7	0	0	7	7	7
blood_reference	GSE274965	GSE274965		blood	sra	7	7	6	7	7	7	6
blood_reference	SRP261186	SRP261186		blood	sra	7	3	7	7	7	7	7
blood_reference	GSE194388	GSE194388		blood	sra	6	6	1	4	3	5	3
blood_reference	GSE125223	PMID:30996137	30996137	blood	sra	6	6	5	5	6	6	5
blood_reference	GSE183073	PMID:34765642	34765642	blood	sra	6	3	6	6	6	6	6
blood_reference	GSE255071	PMID:38858368.0	38858368.0	blood	sra	6	6	2	4	3	5	0
blood_reference	SRP123014	SRP123014		blood	sra	6	1	3	5	4	6	5
blood_reference	GSE243217	PMID:39160575	39160575	blood	sra	6	6	4	5	5	5	5
blood_reference	GSE196822	PMID:37438430	37438430	blood	sra	6	6	6	6	6	6	6
blood_reference	GSE225974	GSE225974		blood	sra	6	6	4	5	4	6	4
blood_reference	PRJNA517749	PMID:31662429	31662429	blood	sra	6	1	3	6	6	6	6
blood_reference	SRP339494	SRP339494		blood	sra	6	5	6	6	6	6	6
blood_reference	GSE176559	GSE176559		blood	sra	6	5	2	4	4	5	3
blood_reference	PRJNA1113623	PRJNA1113623		blood	sra	6	1	6	6	3	6	6
blood_reference	SRP372924	SRP372924		blood	sra	6	6	1	4	6	6	5
blood_reference	GSE222041	GSE222041		blood	sra	6	6	6	6	6	6	6
blood_reference	PRJNA759611	PRJNA759611		blood	sra	6	1	6	6	6	6	6
blood_reference	PRJNA432948	PMID:31557154	31557154	blood	sra	6	1	3	5	6	6	5
blood_reference	SRP446632	SRP446632		blood	sra	6	6	6	6	6	6	5
blood_reference	GSE161042	GSE161042		blood	sra	6	6	4	5	5	6	4
blood_reference	SRP608183	SRP608183		blood	sra	6	1	5	6	6	6	6
blood_reference	PRJNA1051666	PRJNA1051666		blood	sra	6	1	3	6	6	6	6
blood_reference	GSE100232	GSE100232		blood	sra	6	6	1	2	6	6	6
blood_reference	GSE186587	GSE186587		blood	sra	6	6	1	3	6	6	4
blood_reference	PRJNA1212513	PRJNA1212513		blood	sra	6	1	6	6	1	6	6
blood_reference	GSE123523	PMID:31827207	31827207	blood	sra	6	6	6	6	6	6	6
blood_reference	PRJNA1014414	PMID:37745328	37745328	blood	sra	6	1	4	5	3	6	6
blood_reference	PRJEB26600	PRJEB26600		blood	sra	6	1	6	6	6	6	5
blood_reference	SRP547138	SRP547138		blood	sra	6	1	6	6	6	6	6
blood_reference	GSE95352	GSE95352		blood	sra	6	6	3	4	5	6	5
blood_reference	SRP443006	SRP443006		blood	sra	6	1	6	6	6	6	6
blood_reference	GSE237552	GSE237552		blood	sra	6	6	6	6	5	6	5
blood_reference	GSE196988	GSE196988		blood	sra	6	6	6	6	0	5	2
blood_reference	SRP357644	SRP357644		blood	sra	6	1	6	6	6	6	6
blood_reference	GSE134979	PMID:32208488	32208488	blood	sra	6	6	6	6	0	3	2
blood_reference	PRJNA431286	PMID:34083402	34083402	blood	sra	6	1	4	5	5	6	3
blood_reference	GSE92472	PMID:28420548	28420548	blood	sra	6	6	6	6	6	6	6
blood_reference	PRJNA1095453	PMID:38641753.0	38641753.0	blood	sra	6	1	5	6	5	5	2
blood_reference	GSE124824	PMID:32885175	32885175.0	blood	sra	6	6	2	4	6	6	5
blood_reference	PRJNA736432	PRJNA736432		blood	sra	6	1	6	6	6	6	6
blood_reference	PRJNA793034	PRJNA793034		blood	sra	6	1	6	6	6	6	6
blood_reference	GSE159034	PMID:33429950	33429950	blood	sra	6	5	6	6	2	5	5
blood_reference	SRP520100	SRP520100		blood	sra	6	5	5	6	6	6	6
blood_reference	GSE115203	PMID:30541850	30541850	blood	sra	6	3	6	6	6	6	6
blood_reference	GSE60217	PMID:27595325	27595325	blood	sra	6	6	6	6	2	6	6
blood_reference	GSE242173	PMID:38814828	38814828	blood	sra	6	6	6	6	6	6	6
blood_reference	GSE162164	PMID:33692804	33692804	blood	sra	6	6	1	4	6	6	6
blood_reference	PRJNA1054044	PMID:39360678	39360678	blood	sra	6	1	5	6	6	6	6
blood_reference	GSE290023	GSE290023		blood	sra	6	6	6	6	6	6	6
blood_reference	SRP356976	SRP356976		blood	sra	6	6	6	6	6	6	6
blood_reference	PRJNA790453	PRJNA790453		blood	sra	6	1	0	2	6	6	6
blood_reference	GSE128668	GSE128668		blood	sra	6	6	0	1	6	5	1
blood_reference	SRP284055	SRP284055		blood	sra	5	2	4	4	5	5	5
blood_reference	SRP432050	SRP432050		blood	sra	5	5	5	5	5	5	5
blood_reference	GSE64655	PMID:25706537	25706537	blood	sra	5	2	5	5	5	5	5
blood_reference	GSE202262	GSE202262		blood	sra	5	5	5	5	5	5	5
blood_reference	GSE165159	GSE165159		blood	sra	5	5	3	5	5	5	5
blood_reference	GSE228702	PMID:37181876.0	37181876.0	blood	sra	5	5	2	2	3	2	5
blood_reference	SRP375355	SRP375355		blood	sra	5	4	2	4	2	2	2
blood_reference	PRJNA574438	PRJNA574438		blood	sra	5	1	5	5	5	5	5
blood_reference	SRP326294	SRP326294		blood	sra	5	1	5	5	5	5	5
blood_reference	PRJNA512474	PRJNA512474		blood	sra	5	1	5	5	5	5	5
blood_reference	GSE113210	PMID:30562046	30562046	blood	sra	5	5	5	5	4	5	5
blood_reference	PRJNA921887	PRJNA921887		blood	sra	5	1	5	5	5	5	5
blood_reference	SRP589392	SRP589392		blood	sra	5	5	5	5	5	5	5
blood_reference	PRJNA821445	PMID:36871558.0	36871558.0	blood	sra	5	1	5	5	4	4	4
blood_reference	SRP548052	SRP548052		blood	sra	5	5	3	5	5	5	5
blood_reference	GSE110633	GSE110633		blood	sra	5	5	1	5	3	4	4
blood_reference	GSE71359	GSE71359		blood	sra	5	5	0	3	3	3	3
blood_reference	SRP334331	SRP334331		blood	sra	5	3	3	5	5	5	5
blood_reference	PRJNA565209	PMID:31841569	31841569	blood	sra	5	1	5	5	5	5	5
blood_reference	GSE192707	GSE192707		blood	sra	5	5	3	3	5	5	5
blood_reference	GSE165082	PMID:33981329	33981329	blood	sra	5	5	5	5	1	5	5
blood_reference	SRP120650	SRP120650		blood	sra	5	3	4	5	5	5	5
blood_reference	PRJNA1051620	PRJNA1051620		blood	sra	5	1	5	5	5	5	5
blood_reference	PRJNA737596	PRJNA737596		blood	sra	5	1	5	5	5	5	5
blood_reference	GSE131897	PMID:31343987	31343987	blood	sra	5	5	4	4	3	4	3
blood_reference	GSE200836	GSE200836		blood	sra	5	5	5	5	5	5	5
blood_reference	PRJNA214592	PRJNA214592		blood	sra	5	1	3	5	5	5	5
blood_reference	GSE224468	GSE224468		blood	sra	5	1	5	5	5	5	5
blood_reference	GSE161777	PMID:33296687	33296687	blood	sra	5	4	5	5	0	5	5
blood_reference	GSE183132	PMID:34765642	34765642	blood	sra	5	3	5	5	5	5	5
blood_reference	SRP452919	SRP452919		blood	sra	5	4	5	5	5	5	5
blood_reference	PRJNA627540	PRJNA627540		blood	sra	5	1	5	5	4	5	5
blood_reference	GSE196728	PMID:35977481.0	35977481.0	blood	sra	5	4	0	4	2	4	4
blood_reference	GSE168813	GSE168813		blood	sra	5	5	0	0	5	0	2
blood_reference	GSE274876	GSE274876		blood	sra	5	5	5	5	5	5	5
blood_reference	GSE136310	PMID:32167501	32167501	blood	sra	5	2	5	5	5	5	5
blood_reference	PRJNA1053424	PRJNA1053424		blood	sra	5	1	5	5	5	5	5
blood_reference	PRJNA777605	PRJNA777605		blood	sra	5	1	5	5	0	5	5
blood_reference	PRJEB26498	PMID:31196098	31196098	blood	sra	5	1	2	3	5	4	4
blood_reference	PRJNA622427	PRJNA622427		blood	sra	5	1	5	5	2	5	5
blood_reference	GSE131504	PMID:31350911	31350911	blood	sra	5	5	4	4	5	5	5
blood_reference	GSE113386	PMID:30616658.0	30616658.0	blood	sra	5	5	5	5	0	5	4
blood_reference	PRJNA357628	PMID:28420548	28420548	blood	sra	5	1	5	5	5	5	5
blood_reference	GSE35394	PMID:23264659	23264659	blood	sra	5	3	5	5	1	5	5
blood_reference	SRP453827	SRP453827		blood	sra	4	4	0	0	4	3	4
blood_reference	PRJNA505338	PMID:28065665	28065665	blood	sra	4	1	2	4	4	4	4
blood_reference	SRP356741	SRP356741		blood	sra	4	4	4	4	4	4	4
blood_reference	E-MTAB-8875	E-MTAB-8875		blood	sra	4	4	1	2	3	3	3
blood_reference	SRP460699	SRP460699		blood	sra	4	4	4	4	4	4	4
blood_reference	PRJNA931739	PRJNA931739		blood	sra	4	1	3	4	0	0	0
blood_reference	SRP414577	SRP414577		blood	sra	4	2	3	3	4	4	3
blood_reference	GSE211190	GSE211190		blood	sra	4	4	4	4	1	4	2
blood_reference	PRJNA917424	PRJNA917424		blood	sra	4	1	4	4	4	4	4
blood_reference	PRJNA1041385	PRJNA1041385		blood	sra	4	1	4	4	2	4	4
blood_reference	GSE130824	PMID:31249421	31249421	blood	sra	4	4	4	4	4	4	4
blood_reference	SRP555005	SRP555005		blood	sra	4	4	3	3	4	4	4
blood_reference	PRJNA904775	PRJNA904775		blood	sra	4	1	4	4	4	4	4
blood_reference	GSE272381	GSE272381		blood	sra	4	4	4	4	4	4	4
blood_reference	GSE168281	PMID:34336943	34336943	blood	sra	4	4	4	4	2	4	2
blood_reference	GSE195933	GSE195933		blood	sra	4	4	2	2	4	4	4
blood_reference	GSE241238	GSE241238		blood	sra	4	4	4	4	4	4	4
blood_reference	PRJNA1078747	PRJNA1078747		blood	sra	4	1	4	4	4	4	4
blood_reference	GSE293559	GSE293559		blood	sra	4	4	3	4	3	4	4
blood_reference	GSE210162	GSE210162		blood	sra	4	4	4	4	4	4	4
blood_reference	PRJNA675222	PRJNA675222		blood	sra	4	1	2	4	3	3	2
blood_reference	PRJNA893078	PRJNA893078		blood	sra	4	1	4	4	0	4	4
blood_reference	GSE130836	PMID:31211922	31211922	blood	sra	4	4	4	4	0	4	4
blood_reference	GSE104423	PMID:29236770	29236770	blood	sra	4	4	4	4	0	4	4
blood_reference	E-MTAB-9066	E-MTAB-9066		blood	sra	4	4	3	3	4	4	4
blood_reference	GSE141140	GSE141140		blood	sra	4	4	3	4	3	3	3
blood_reference	GSE78081	GSE78081		blood	sra	4	4	4	4	1	4	4
blood_reference	SRP379422	SRP379422		blood	sra	4	3	4	4	0	0	0
blood_reference	SRP587396	SRP587396		blood	sra	4	1	2	4	4	4	4
blood_reference	E-MTAB-6753	PMID:31196098	31196098	blood	sra	4	4	3	4	4	4	4
blood_reference	SRP479736	SRP479736		blood	sra	4	4	4	4	4	4	4
blood_reference	PRJNA631782	PRJNA631782		blood	sra	4	1	4	4	0	4	4
blood_reference	PRJNA915976	PRJNA915976		blood	sra	4	1	2	4	4	4	4
blood_reference	PRJNA1001790	PRJNA1001790		blood	sra	4	1	4	4	4	4	4
